Country,State,Confirmed,Deaths,Recovered,Date
Russia,Berlin,1486.0,,50392.0,2022-05-07
France,New York,24762.0,2656.0,51021.0,2022-01-29
United Kingdom,Karnataka,27613.0,4875.0,18420.0,2021-07-20
United States,Florida,4196.0,2299.0,17202.0,2022-07-04
Russia,Moscow,,3882.0,2394.0,2021-12-21
Mexico,Paris,77349.0,1495.0,31485.0,2020-01-17
France,New York,65839.0,3161.0,,2020-03-08
Italy,Karnataka,42916.0,1450.0,15939.0,2020-05-12
France,Paris,9572.0,775.0,42735.0,2021-11-30
United States,London,29225.0,4489.0,28159.0,2022-07-07
Italy,Paris,,2448.0,,2021-03-05
Spain,California,,4102.0,68365.0,2020-11-03
Italy,New York,33275.0,4793.0,68806.0,2021-10-11
Russia,Texas,73379.0,1159.0,57197.0,2020-06-22
Spain,Berlin,2105.0,3575.0,17151.0,2021-02-15
France,Moscow,60896.0,4152.0,49544.0,2020-04-06
Mexico,Texas,44209.0,1982.0,15133.0,2021-11-13
Germany,Karnataka,98175.0,2676.0,1069.0,2020-06-02
Mexico,New York,43487.0,473.0,,2021-11-25
France,Berlin,19051.0,4228.0,68009.0,2020-08-29
United States,Paris,95244.0,2191.0,33538.0,2020-10-30
Germany,New York,78400.0,1652.0,49588.0,2020-10-11
France,Paris,67961.0,3898.0,67293.0,2020-01-27
United Kingdom,London,61156.0,850.0,38638.0,2021-02-05
Russia,California,58175.0,2664.0,63810.0,2020-12-25
United Kingdom,Maharashtra,,4128.0,29257.0,2020-02-29
Spain,New York,19976.0,575.0,56651.0,2020-07-20
Brazil,Karnataka,57866.0,974.0,49772.0,2022-01-31
France,Paris,48078.0,,,2022-05-23
India,Texas,32113.0,1005.0,11344.0,2021-08-03
India,London,16401.0,1197.0,51955.0,2022-08-27
Italy,Karnataka,13884.0,4931.0,68947.0,2021-01-04
Mexico,Moscow,,4321.0,43566.0,2021-06-16
Mexico,Maharashtra,38563.0,,40504.0,2020-05-31
Mexico,London,35414.0,666.0,38833.0,2020-04-11
United Kingdom,California,17142.0,2992.0,40197.0,2022-06-17
Russia,Maharashtra,72492.0,1123.0,18134.0,2022-09-26
France,Paris,80464.0,4416.0,25061.0,2021-08-29
United States,Karnataka,76257.0,,18533.0,2021-03-21
Italy,Moscow,,3029.0,55563.0,2022-05-22
Spain,Florida,36135.0,2314.0,26421.0,2020-08-16
Germany,California,73232.0,2590.0,19840.0,2020-05-04
Spain,Berlin,28862.0,61.0,63281.0,2022-02-08
France,Paris,6190.0,1371.0,15401.0,2022-04-13
Brazil,Florida,71199.0,1204.0,11138.0,2022-09-25
Mexico,New York,5331.0,4029.0,39096.0,2022-05-30
Germany,Moscow,53186.0,3148.0,44824.0,2022-07-26
United Kingdom,Texas,45648.0,1658.0,,2020-08-23
France,Berlin,29549.0,681.0,25878.0,2020-06-10
Brazil,Karnataka,82782.0,787.0,51367.0,2021-07-07
United Kingdom,Moscow,26761.0,4937.0,43375.0,2022-02-26
Brazil,Maharashtra,4262.0,2289.0,64877.0,2020-12-18
Mexico,London,52259.0,3032.0,55191.0,2020-03-08
United Kingdom,Maharashtra,,,64803.0,2020-06-21
Russia,Maharashtra,,3149.0,61339.0,2022-04-22
India,New York,88858.0,1084.0,49563.0,2021-09-28
Spain,California,85667.0,1726.0,5992.0,2021-11-12
Russia,Texas,,1293.0,31857.0,2021-07-12
Germany,Berlin,74508.0,4696.0,32814.0,2020-09-17
Italy,California,81865.0,1996.0,49197.0,2020-08-04
India,Moscow,51617.0,2643.0,,2022-03-27
Russia,Maharashtra,87029.0,1011.0,,2020-05-03
France,New York,19595.0,1056.0,60511.0,2022-03-15
Brazil,Moscow,88459.0,2186.0,11186.0,2020-06-10
Germany,London,61148.0,,37949.0,2020-07-19
France,Texas,47926.0,1865.0,62106.0,2021-03-29
India,Berlin,76271.0,510.0,19391.0,2021-02-05
Brazil,London,35457.0,2243.0,52615.0,2021-04-06
Germany,New York,43531.0,4584.0,61219.0,2020-10-01
Italy,Texas,,2549.0,37223.0,2020-07-24
India,Moscow,74300.0,4618.0,30377.0,2020-02-09
Germany,Maharashtra,64171.0,3724.0,14526.0,2020-09-29
Russia,Maharashtra,46771.0,2342.0,20922.0,2021-11-30
Germany,Paris,94135.0,610.0,,2022-05-16
India,Maharashtra,67354.0,4294.0,33981.0,2020-04-02
Mexico,Florida,38289.0,998.0,58531.0,2020-02-11
Russia,Maharashtra,34892.0,1891.0,9021.0,2021-04-09
France,Florida,72196.0,4493.0,2246.0,2021-01-13
India,Karnataka,96057.0,1764.0,68732.0,2020-04-16
Mexico,Florida,39409.0,2474.0,12512.0,2020-11-23
United States,Texas,35470.0,2233.0,23957.0,2020-03-05
Italy,London,,4492.0,30460.0,2020-12-30
Mexico,Texas,24296.0,1504.0,8410.0,2022-03-31
United States,London,62716.0,862.0,3193.0,2021-04-28
Spain,Paris,90152.0,461.0,16358.0,2021-10-08
Brazil,Karnataka,27382.0,,29310.0,2022-06-19
Mexico,London,77675.0,1768.0,20592.0,2020-01-24
United Kingdom,London,,4318.0,,2021-06-23
Italy,New York,,,58605.0,2020-03-02
Mexico,California,94321.0,4146.0,31005.0,2021-05-05
United States,California,82238.0,4705.0,29055.0,2020-09-29
United Kingdom,New York,,3348.0,,2020-08-16
Italy,Maharashtra,,2598.0,12325.0,2020-01-20
United Kingdom,New York,13397.0,,,2020-01-03
Russia,London,58888.0,3530.0,536.0,2021-02-24
United States,London,,1789.0,39551.0,2021-12-30
Germany,New York,63182.0,3142.0,60571.0,2022-06-29
Russia,New York,93476.0,3583.0,,2020-11-02
Italy,Maharashtra,43249.0,3228.0,37148.0,2021-03-07
Italy,Texas,,3767.0,,2020-05-15
India,Karnataka,76603.0,4026.0,65629.0,2022-06-27
United States,Moscow,47144.0,2847.0,8828.0,2022-08-01
Spain,London,62772.0,2391.0,6833.0,2021-05-29
Spain,Karnataka,80360.0,4249.0,47138.0,2020-07-11
Italy,New York,14444.0,3946.0,11768.0,2021-08-07
Spain,Maharashtra,46647.0,4438.0,17545.0,2021-02-18
Brazil,Florida,99843.0,,41241.0,2022-05-22
India,Maharashtra,11974.0,4160.0,43270.0,2020-04-27
Italy,Berlin,39383.0,1340.0,8387.0,2021-10-27
Spain,Berlin,95826.0,2927.0,25418.0,2020-07-27
United States,Karnataka,82552.0,1456.0,35997.0,2022-08-09
Mexico,California,98648.0,1450.0,61509.0,2020-02-03
Germany,Berlin,95049.0,3754.0,12429.0,2021-10-10
Russia,Berlin,3956.0,2854.0,62262.0,2020-11-13
Russia,Texas,9077.0,4185.0,,2020-04-29
Brazil,Florida,37490.0,874.0,37838.0,2021-09-18
United Kingdom,Texas,56612.0,481.0,34783.0,2021-06-08
United States,Florida,37159.0,1512.0,47066.0,2021-08-03
United Kingdom,Paris,40710.0,,28513.0,2022-07-25
India,Moscow,84536.0,1420.0,52632.0,2022-04-24
Germany,London,14806.0,,28584.0,2022-02-07
India,Berlin,79345.0,1915.0,21643.0,2020-03-29
Italy,London,81391.0,4669.0,14679.0,2021-05-26
United States,Berlin,95924.0,,59226.0,2020-02-16
Italy,Texas,7458.0,,10722.0,2022-02-10
France,Moscow,36524.0,3493.0,60465.0,2022-01-09
Spain,Texas,7853.0,4572.0,64568.0,2022-08-16
Russia,Texas,41477.0,608.0,24449.0,2021-11-22
Mexico,Florida,33222.0,1001.0,16616.0,2021-06-05
Italy,California,19320.0,1942.0,51552.0,2020-10-10
United Kingdom,Maharashtra,95154.0,2794.0,51869.0,2021-01-11
France,Karnataka,53243.0,3051.0,49317.0,2021-09-29
Russia,London,46615.0,76.0,30155.0,2020-05-13
Italy,Paris,18352.0,3408.0,58302.0,2021-10-28
France,Berlin,73833.0,2760.0,48132.0,2020-09-04
France,Texas,94476.0,479.0,14693.0,2021-10-13
United States,California,4203.0,1734.0,31276.0,2020-11-13
India,Texas,,3995.0,43725.0,2021-03-11
France,Moscow,38941.0,1641.0,,2020-06-24
Brazil,Florida,83809.0,,65951.0,2022-04-14
India,Paris,26368.0,3022.0,,2021-11-16
Russia,Maharashtra,78186.0,2513.0,19395.0,2022-09-19
Russia,Moscow,31984.0,1496.0,66282.0,2021-08-08
Russia,New York,42941.0,4029.0,21709.0,2020-12-16
Russia,Paris,73918.0,4237.0,62307.0,2020-05-22
Brazil,Texas,53683.0,939.0,23586.0,2022-08-24
Italy,Moscow,18010.0,3022.0,27707.0,2022-03-14
Germany,Maharashtra,48965.0,1515.0,21397.0,2021-02-01
France,California,86269.0,4739.0,63583.0,2021-09-15
Russia,California,,2954.0,67457.0,2021-12-18
India,London,36969.0,2829.0,7783.0,2021-10-04
India,Maharashtra,83269.0,1194.0,755.0,2021-01-03
France,California,33449.0,298.0,15987.0,2021-05-15
Italy,Moscow,92679.0,1821.0,19846.0,2021-09-13
Mexico,London,26705.0,,35550.0,2021-01-04
Mexico,California,,926.0,9244.0,2021-08-01
Germany,Paris,,1718.0,25256.0,2021-01-16
Italy,Florida,31720.0,3584.0,62096.0,2020-03-26
